"Qty";"Value";"Device";"Package";"Parts";"Description";"SPICEPREFIX";
"1";"";"PINHD-1X2";"1X02";"JP5";"PIN HEADER";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";
"2";"";"PINHD-1X4";"1X04";"JP3, JP4";"PIN HEADER";"";
"1";"";"PINHD-1X6/90";"1X06/90";"JP2";"PIN HEADER";"";
"1";"";"PINHD-2X5";"2X05";"JP6";"PIN HEADER";"";
"5";"";"R-EU_R0402";"R0402";"R5, R7, R8, R9, R10";"RESISTOR, European symbol";"R";
"1";"0Ohm";"R-EU_R0402";"R0402";"R3";"RESISTOR, European symbol";"R";
"2";"100n";"C-EUC0402";"C0402";"C2, C3";"CAPACITOR, European symbol";"C";
"1";"10k";"R-EU_R0402";"R0402";"R6";"RESISTOR, European symbol";"R";
"2";"1k";"R-EU_R0402";"R0402";"R2, R4";"RESISTOR, European symbol";"R";
"1";"1nF";"C-EUC0402";"C0402";"C1";"CAPACITOR, European symbol";"C";
"1";"4.7k";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"R";
"1";"DTSM-6";"DTSM-6";"DTSM-6";"S1";"";"";
"1";"STM32F10XCXT6";"STM32F10XCXT6";"TQFP48";"IC1";"ST STM32F101/103 48pin LQFP";"";
